feature_name,true_mean,false_mean,delta,abs_delta,true_std,false_std,single_feature_auroc
L19_H11_last_to_non_anchor_mass,0.005977966872328624,-0.005820651954635755,0.01179861882696438,0.01179861882696438,0.1374386351705924,0.11761155346242946,0.5289495910384068
L19_H11_last_to_anchor_mass,-0.005977966872328515,0.0058206519546358595,-0.011798618826964376,0.011798618826964376,0.1374386351705924,0.11761155346242948,0.4710504089615931
L13_H04_last_to_anchor_mass,-0.005927384666171373,0.005771400859166837,-0.01169878552533821,0.01169878552533821,0.15534636936678956,0.14295593816102195,0.46941678520625885
L13_H04_last_to_non_anchor_mass,0.0059273846661713385,-0.005771400859166865,0.011698785525338203,0.011698785525338203,0.15534636936678956,0.14295593816102195,0.5305832147937412
L16_H04_last_to_non_anchor_mass,0.005915948100809662,-0.0057602652560515425,0.011676213356861205,0.011676213356861205,0.18379578722806353,0.1736203792205564,0.530016447368421
L16_H04_last_to_anchor_mass,-0.005915948100809589,0.005760265256051614,-0.011676213356861202,0.011676213356861202,0.18379578722806353,0.1736203792205564,0.4699835526315789
L14_H10_top3_attention_mass_last,-0.005889060310305042,0.005734085038981322,-0.011623145349286365,0.011623145349286365,0.05838332016795226,0.04283287499765325,0.4593594416785206
L13_H00_attention_sink_mass,-0.005766783945939484,0.005615026473678137,-0.011381810419617621,0.011381810419617621,0.08727799048957896,0.08678079802069384,0.4599484352773826
L17_H05_last_to_subject_mass_norm,-0.005744142208466504,0.005592980571401671,-0.011337122779868175,0.011337122779868175,0.06867110097659537,0.08788139254398662,0.4821968349928876
L16_H03_last_to_non_anchor_mass,0.005718646186538777,-0.005568155497419338,0.011286801683958115,0.011286801683958115,0.1816890264991355,0.17843875768724102,0.5307276849217639
L16_H03_last_to_anchor_mass,-0.0057186461865387376,0.005568155497419375,-0.011286801683958111,0.011286801683958111,0.1816890264991355,0.17843875768724107,0.4692723150782361
L19_H01_last_to_tail_mass,-0.0057038671914087045,0.005553765423213739,-0.011257632614622443,0.011257632614622443,0.049670262778293325,0.05996473734181842,0.4294985775248933
L20_H03_last_to_subject_mass,0.005689889178009726,-0.005540155252272836,0.011230044430282561,0.011230044430282561,0.07112265397002285,0.07553432720994506,0.544507912517781
L15_H08_max_attention_last,0.00568561118538739,-0.005535989838403535,0.011221601023790925,0.011221601023790925,0.0872374837557535,0.08670309596268105,0.5395403627311522
L15_H03_attention_sink_mass,0.0056636630424887965,-0.005514619278212694,0.01117828232070149,0.01117828232070149,0.033777044735180395,0.0430099379830002,0.5609330547652916
L20_H05_max_attention_last,0.005661107210168371,-0.00551213070463766,0.011173237914806032,0.011173237914806032,0.12292953246394382,0.11819353096268337,0.5343727773826458
L13_H06_top3_attention_mass_last,-0.005640173249369147,0.005491747637543852,-0.011131920886912998,0.011131920886912998,0.06755192604356614,0.0665943231817357,0.446546052631579
L13_H10_attention_sink_mass,-0.005627446530024673,0.005479355831866245,-0.011106802361890919,0.011106802361890919,0.09358457263907624,0.0708672406249253,0.4733730440967283
L16_H11_last_to_subject_mass,0.0056215759004362015,-0.0054736396925299455,0.011095215592966147,0.011095215592966147,0.14670181522942347,0.13769739783800633,0.5317278627311521
L17_H02_max_attention_last,0.0056094837918136044,-0.005461865797292156,0.01107134958910576,0.01107134958910576,0.1690774122838163,0.16236686130421865,0.5129245199146515
L15_H04_last_to_subject_mass_norm,-0.005604142597469799,0.0054566651606942525,-0.011060807758164051,0.011060807758164051,0.13999787442542472,0.12729688347084542,0.4485575213371266
L14_H08_top3_attention_mass_last,0.005598013626346668,-0.005450697478284886,0.011048711104631553,0.011048711104631553,0.033080964431321726,0.041363977317339935,0.5909939544807965
L20_H03_last_to_tail_mass,-0.005587452082376273,0.0054404138696820805,-0.011027865952058354,0.011027865952058354,0.05940431754241932,0.0682251341546027,0.4601484708392603
L20_H10_attention_sink_mass,-0.005565913936029781,0.005419442516660624,-0.010985356452690404,0.010985356452690404,0.1573414198062001,0.1550561287557957,0.48097439544807963
L17_H04_last_to_subject_mass_norm,-0.005553134656719685,0.00540699953417464,-0.010960134190894325,0.010960134190894325,0.1167983849028048,0.1163828111777688,0.4536584281650071
L15_H00_top3_attention_mass_last,0.005520736389227009,-0.005375453852668325,0.010896190241895334,0.010896190241895334,0.11808717110131664,0.10982329022789605,0.5224595483641535
L18_H05_last_to_tail_mass,0.005512905881091026,-0.00536782941053602,0.010880735291627046,0.010880735291627046,0.09641028642697078,0.11042476788828498,0.5303942923186343
L14_H07_last_to_subject_mass_norm,-0.005511289544374958,0.005366255608996724,-0.010877545153371682,0.010877545153371682,0.09491168200282644,0.0999639594267794,0.4671830547652916
L14_H09_max_attention_last,-0.005509060463579923,0.0053640851882226165,-0.01087314565180254,0.01087314565180254,0.05437075143131466,0.04455302267195284,0.44307876955903275
L19_H05_last_to_tail_mass_norm,0.005505109883463237,-0.005360238570740491,0.010865348454203727,0.010865348454203727,0.058770749387809434,0.05884676207518799,0.5605552098150782
L18_H01_last_to_subject_mass_norm,-0.005494495053211648,0.005349903078127215,-0.010844398131338863,0.010844398131338863,0.04822786993828829,0.05418711092443839,0.43133223684210525
L13_H00_last_to_anchor_mass,-0.005486601113041599,0.005342216873224839,-0.010828817986266438,0.010828817986266438,0.11600475445265347,0.10013724408945021,0.4658605974395448
L13_H00_last_to_non_anchor_mass,0.005486601113041655,-0.005342216873224784,0.010828817986266438,0.010828817986266438,0.11600475445265347,0.10013724408945021,0.5341394025604552
L18_H01_last_to_tail_mass_norm,0.005458473794019794,-0.005314829746808735,0.01077330354082853,0.01077330354082853,0.05999412553781349,0.06111624283302684,0.5569434566145093
